name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
裕中东里,3室1厅,900,111.9平米,低楼层(共6层),1986年建板楼
裕中西里,3室0厅,540,63.2平米,高楼层(共6层),1980年建板楼
马甸南村,2室1厅,580,77.1平米,中楼层(共13层),1990年建板塔结合
安德馨居,2室2厅,1060,133.27平米,中楼层(共7层),2003年建板楼
教场口9号院,3室1厅,680,84.68平米,低楼层(共21层),1992年建塔楼
裕中西里,2室1厅,610,73.6平米,低楼层(共24层),1983年建板塔结合
鲍家街,3室1厅,1130,83平米,低楼层(共6层),1995年建板楼
远见国际公寓,2室1厅,403,96平米,中楼层(共26层),2004年建塔楼
西豪逸景,2室1厅,375,72.12平米,中楼层(共28层),2002年建塔楼
新明嘉园,3室1厅,865,115.54平米,低楼层(共6层),1995年建板楼
北礼士路,2室1厅,460,67.8平米,高楼层(共16层),1991年建板塔结合
白菜湾社区,2室1厅,380,59.08平米,高楼层(共6层),1992年建板楼
马连道西里,4室1厅,560,147.72平米,中楼层(共6层),1996年建板楼
温馨家园,2室1厅,698,70.7平米,中楼层(共18层),1999年建塔楼
人定湖西里,4室2厅,1320,141.8平米,高楼层(共6层),1980年建板楼
清芷园,3室1厅,1200,171.24平米,高楼层(共18层),2002年建板塔结合
常青藤嘉园,1室1厅,275,54.34平米,低楼层(共22层),2004年建塔楼
远见名苑,2室2厅,810,119.67平米,低楼层(共17层),1990年建板塔结合
新纪元公寓,1室1厅,400,77.83平米,中楼层(共21层),1997年建塔楼
复兴门外大街,2室1厅,520,67.7平米,中楼层(共16层),1980年建塔楼
西城晶华,2室1厅,1100,97.05平米,中楼层(共11层),2004年建板塔结合
马相西巷,2室1厅,400,60.4平米,高楼层(共6层),1980年建板楼
苇坑胡同71号,2室1厅,410,61.2平米,中楼层(共6层),1984年建板楼
庄胜二期,2室1厅,980,95.96平米,中楼层(共12层),2004年建板塔结合
椿树园,2室1厅,800,93.32平米,低楼层(共13层),1999年建板塔结合
教场口6号院,1室1厅,455,56.56平米,中楼层(共6层),1992年建板楼
新明嘉园,2室2厅,900,115平米,中楼层(共6层),1995年建板楼
常青藤嘉园,1室1厅,360,62.71平米,高楼层(共16层),2002年建塔楼
红莲南里,2室1厅,285,61.13平米,高楼层(共7层),1992年建板楼
人定湖西里,2室1厅,400,52.3平米,中楼层(共5层),1958年建板楼
三里河三区,2室1厅,630,66.6平米,中楼层(共4层),1985年建板楼
中信锦园,2室2厅,900,98.38平米,低楼层(共18层),2008年建板塔结合
富卓花园,3室2厅,1330,139.59平米,中楼层(共21层),2003年建塔楼
锦官苑,2室2厅,1100,109.75平米,高楼层(共18层),2005年建板塔结合
新德街35号院,1室1厅,490,49.3平米,中楼层(共7层),
乐城,1室1厅,300,63.81平米,低楼层(共24层),2002年建板塔结合
白纸坊街25号院,2室1厅,405,62.1平米,低楼层(共6层),1997年建板楼
朗琴园,2室1厅,650,97.07平米,高楼层(共29层),2002年建塔楼
考拉社区,1室0厅,195,37.37平米,高楼层(共21层),2002年建塔楼
恬心家园,1室0厅,270,51.01平米,高楼层(共18层),2000年建板塔结合
六铺炕三区,2室1厅,550,57平米,中楼层(共5层),1992年建板楼
时代之光名苑,2室1厅,443,73.79平米,低楼层(共16层),2002年建塔楼
月坛北街,2室1厅,580,65.8平米,高楼层(共11层),1985年建板塔结合
西便门外大街,3室0厅,430,60.4平米,高楼层(共5层),1975年建板楼
车站西街17号院,1室1厅,275,46平米,高楼层(共6层),1992年建板楼
清芷园,3室2厅,820,181.16平米,低楼层(共16层),2000年建板塔结合
长椿街西里,4室1厅,430,76.53平米,高楼层(共6层),1982年建板楼
新德街35号院,3室1厅,620,70.6平米,中楼层(共5层),1980年建板楼
畅柳园,2室1厅,460,65.4平米,低楼层(共14层),1998年建板塔结合
南线阁37号院,2室1厅,620,104.35平米,中楼层(共22层),1998年建塔楼
六铺炕一区,3室1厅,830,92平米,低楼层(共6层),1991年建板楼
